8 0
2 0
1 0
5 0
10 0
20 0
14 0
13 0
17 0
22 0
3 0
-11 0
23 0
-15 0
-7 0
-9 0
-4 0
-12 0
-6 0
-19 0
-21 0
-16 0
-24 0
-18 0
-12 0
-24 0
-241 -2 0
-241 8 0
-242 8 0
-242 2 0
-242 -26 0
-243 8 0
-243 11 0
-243 -2 0
-243 28 0
-243 -35 0
-244 10 0
-244 7 0
-244 -31 0
-244 32 0
-245 7 0
-245 3 0
-245 -1 0
-245 28 0
-245 -27 0
-246 4 0
-246 228 0
-246 36 0
-247 5 0
-247 8 0
-247 -32 0
-247 31 0
-248 -1 0
-248 7 0
-249 7 0
-249 1 0
-249 -25 0
-250 -14 0
-250 20 0
-251 20 0
-251 14 0
-251 -38 0
-252 20 0
-252 23 0
-252 -14 0
-252 40 0
-252 -47 0
-253 22 0
-253 19 0
-253 -43 0
-253 44 0
-254 19 0
-254 15 0
-254 -13 0
-254 40 0
-254 -39 0
-255 16 0
-255 240 0
-255 48 0
-256 17 0
-256 20 0
-256 -44 0
-256 43 0
-257 -13 0
-257 19 0
-258 19 0
-258 13 0
-258 -37 0
-259 -26 0
-259 32 0
-260 32 0
-260 26 0
-260 -50 0
-261 32 0
-261 35 0
-261 -26 0
-261 52 0
-261 -59 0
-262 34 0
-262 31 0
-262 -55 0
-262 56 0
-263 31 0
-263 27 0
-263 -25 0
-263 52 0
-263 -51 0
-264 28 0
-264 228 0
-264 60 0
-265 29 0
-265 32 0
-265 -56 0
-265 55 0
-266 -25 0
-266 31 0
-267 31 0
-267 25 0
-267 -49 0
-268 -38 0
-268 44 0
-269 44 0
-269 38 0
-269 -62 0
-270 44 0
-270 47 0
-270 -38 0
-270 64 0
-270 -71 0
-271 46 0
-271 43 0
-271 -67 0
-271 68 0
-272 43 0
-272 39 0
-272 -37 0
-272 64 0
-272 -63 0
-273 40 0
-273 240 0
-273 72 0
-274 41 0
-274 44 0
-274 -68 0
-274 67 0
-275 -37 0
-275 43 0
-276 43 0
-276 37 0
-276 -61 0
-277 -50 0
-277 56 0
-278 56 0
-278 50 0
-278 -74 0
-279 56 0
-279 59 0
-279 -50 0
-279 76 0
-279 -83 0
-280 58 0
-280 55 0
-280 -79 0
-280 80 0
-281 55 0
-281 51 0
-281 -49 0
-281 76 0
-281 -75 0
-282 52 0
-282 228 0
-282 84 0
-283 53 0
-283 56 0
-283 -80 0
-283 79 0
-284 -49 0
-284 55 0
-285 55 0
-285 49 0
-285 -73 0
-286 -62 0
-286 68 0
-287 68 0
-287 62 0
-287 -86 0
-288 68 0
-288 71 0
-288 -62 0
-288 88 0
-288 -95 0
-289 70 0
-289 67 0
-289 -91 0
-289 92 0
-290 67 0
-290 63 0
-290 -61 0
-290 88 0
-290 -87 0
-291 64 0
-291 240 0
-291 96 0
-292 65 0
-292 68 0
-292 -92 0
-292 91 0
-293 -61 0
-293 67 0
-294 67 0
-294 61 0
-294 -85 0
-295 -74 0
-295 80 0
-296 80 0
-296 74 0
-296 -98 0
-297 80 0
-297 83 0
-297 -74 0
-297 100 0
-297 -107 0
-298 82 0
-298 79 0
-298 -103 0
-298 104 0
-299 79 0
-299 75 0
-299 -73 0
-299 100 0
-299 -99 0
-300 76 0
-300 228 0
-300 108 0
-301 77 0
-301 80 0
-301 -104 0
-301 103 0
-302 -73 0
-302 79 0
-303 79 0
-303 73 0
-303 -97 0
-304 -86 0
-304 92 0
-305 92 0
-305 86 0
-305 -110 0
-306 92 0
-306 95 0
-306 -86 0
-306 112 0
-306 -119 0
-307 94 0
-307 91 0
-307 -115 0
-307 116 0
-308 91 0
-308 87 0
-308 -85 0
-308 112 0
-308 -111 0
-309 88 0
-309 240 0
-309 120 0
-310 89 0
-310 92 0
-310 -116 0
-310 115 0
-311 -85 0
-311 91 0
-312 91 0
-312 85 0
-312 -109 0
-313 -98 0
-313 104 0
-314 104 0
-314 98 0
-314 -122 0
-315 104 0
-315 107 0
-315 -98 0
-315 124 0
-315 -131 0
-316 106 0
-316 103 0
-316 -127 0
-316 128 0
-317 103 0
-317 99 0
-317 -97 0
-317 124 0
-317 -123 0
-318 100 0
-318 228 0
-318 132 0
-319 101 0
-319 104 0
-319 -128 0
-319 127 0
-320 -97 0
-320 103 0
-321 103 0
-321 97 0
-321 -121 0
-322 -110 0
-322 116 0
-323 116 0
-323 110 0
-323 -134 0
-324 116 0
